air_temperature_2m,time
275.450195,1666756800.0
275.703522,1666760400.0
275.824982,1666764000.0
276.002075,1666767600.0
276.189819,1666771200.0
276.341888,1666774800.0
276.512634,1666778400.0
276.98111,1666782000.0
277.329376,1666785600.0
277.501801,1666789200.0
277.526184,1666792800.0
277.543274,1666796400.0
277.617188,1666800000.0
277.508575,1666803600.0
277.331207,1666807200.0
277.106781,1666810800.0
276.986938,1666814400.0
276.763184,1666818000.0
276.49823,1666821600.0
276.467377,1666825200.0
278.575714,1666828800.0
278.583099,1666832400.0
278.686523,1666836000.0
278.668518,1666839600.0
278.784882,1666843200.0
278.370697,1666846800.0
277.557648,1666850400.0
277.329529,1666854000.0
277.979126,1666857600.0
278.377625,1666861200.0
278.762695,1666864800.0
278.401367,1666868400.0
278.042725,1666872000.0
278.316956,1666875600.0
278.586609,1666879200.0
278.850647,1666882800.0
279.074219,1666886400.0
279.349152,1666890000.0
279.605225,1666893600.0
279.761475,1666897200.0
279.911591,1666900800.0
280.432587,1666904400.0
281.179688,1666908000.0
280.995209,1666911600.0
280.530212,1666915200.0
279.476654,1666918800.0
278.906219,1666922400.0
278.467377,1666926000.0
278.384796,1666929600.0
278.042694,1666933200.0
277.394226,1666936800.0
277.970642,1666940400.0
279.123749,1666944000.0
280.579498,1666947600.0
281.894531,1666951200.0
282.493073,1666954800.0
282.649963,1666958400.0
282.715729,1666962000.0
282.180542,1666965600.0
280.735504,1666969200.0
279.53299,1666972800.0
278.625427,1666976400.0
278.201508,1666980000.0
278.044037,1666983600.0
278.022491,1666987200.0
277.976013,1666990800.0
277.628571,1666994400.0
277.264679,1666998000.0
281.501007,1667001600.0
280.904968,1667005200.0
280.937927,1667008800.0
281.134705,1667012400.0
281.416748,1667016000.0
281.819641,1667019600.0
282.125824,1667023200.0
282.536652,1667026800.0
282.836395,1667030400.0
282.94754,1667034000.0
283.053436,1667037600.0
283.782257,1667041200.0
284.191467,1667044800.0
284.23584,1667048400.0
283.811005,1667052000.0
282.949799,1667055600.0
281.869415,1667059200.0
280.639496,1667062800.0
279.952484,1667066400.0
279.209229,1667070000.0
278.425812,1667073600.0
278.257355,1667077200.0
277.781891,1667080800.0
277.167023,1667084400.0
277.589203,1667088000.0
276.874237,1667091600.0
276.933807,1667095200.0
276.717773,1667098800.0
276.098206,1667102400.0
275.495605,1667106000.0
275.634918,1667109600.0
275.878662,1667113200.0
276.106415,1667116800.0
276.47287,1667120400.0
276.82782,1667124000.0
277.036713,1667127600.0
277.24054,1667131200.0
277.338898,1667134800.0
276.868469,1667138400.0
276.605194,1667142000.0
276.862915,1667145600.0
276.930267,1667149200.0
277.047791,1667152800.0
277.153839,1667156400.0
277.266418,1667160000.0
276.939667,1667163600.0
276.077545,1667167200.0
275.40863,1667170800.0
272.460907,1667174400.0
272.060028,1667178000.0
271.979767,1667181600.0
272.027222,1667185200.0
271.566986,1667188800.0
271.461151,1667192400.0
271.260101,1667196000.0
272.142334,1667199600.0
273.873199,1667203200.0
275.253265,1667206800.0
276.639557,1667210400.0
277.220398,1667214000.0
277.456726,1667217600.0
277.267365,1667221200.0
275.771545,1667224800.0
274.326202,1667228400.0
274.489746,1667232000.0
275.327271,1667235600.0
275.842285,1667239200.0
276.135956,1667242800.0
276.41571,1667246400.0
276.489929,1667250000.0
276.474701,1667253600.0
276.667267,1667257200.0
279.770355,1667260800.0
280.366211,1667264400.0
279.540833,1667268000.0
278.234589,1667271600.0
277.685028,1667275200.0
277.406891,1667278800.0
277.283081,1667282400.0
277.822113,1667286000.0
278.565155,1667289600.0
279.226715,1667293200.0
280.03656,1667296800.0
280.718689,1667300400.0
280.850525,1667304000.0
280.082367,1667307600.0
279.394348,1667311200.0
278.934662,1667314800.0
278.132019,1667318400.0
277.376495,1667322000.0
276.929749,1667325600.0
276.624573,1667329200.0
276.51358,1667332800.0
276.498474,1667336400.0
276.349609,1667340000.0
276.23349,1667343600.0
276.921661,1667347200.0
277.073456,1667350800.0
