id,start,end,tags,hours,hours_per_tag
216,2024-09-10 14:13:11,2024-09-10 16:22:55,dan,2.1622222222222223,1.0811111111111111
216,2024-09-10 14:13:11,2024-09-10 16:22:55,dan: teaching,2.1622222222222223,1.0811111111111111
215,2024-09-11 05:04:25,2024-09-11 05:24:06,communication,0.32805555555555554,0.16402777777777777
215,2024-09-11 05:04:25,2024-09-11 05:24:06,ttv,0.32805555555555554,0.16402777777777777
214,2024-09-11 05:25:45,2024-09-11 05:49:58,discrete: planning,0.4036111111111111,0.13453703703703704
214,2024-09-11 05:25:45,2024-09-11 05:49:58,tic,0.4036111111111111,0.13453703703703704
214,2024-09-11 05:25:45,2024-09-11 05:49:58,ttv,0.4036111111111111,0.13453703703703704
213,2024-09-11 06:10:01,2024-09-11 06:35:37,discrete: planning,0.4266666666666667,0.14222222222222222
213,2024-09-11 06:10:01,2024-09-11 06:35:37,tic,0.4266666666666667,0.14222222222222222
213,2024-09-11 06:10:01,2024-09-11 06:35:37,ttv,0.4266666666666667,0.14222222222222222
212,2024-09-11 06:42:57,2024-09-11 06:47:57,discrete: planning,0.08333333333333333,0.027777777777777776
212,2024-09-11 06:42:57,2024-09-11 06:47:57,tic,0.08333333333333333,0.027777777777777776
212,2024-09-11 06:42:57,2024-09-11 06:47:57,ttv,0.08333333333333333,0.027777777777777776
211,2024-09-11 06:48:03,2024-09-11 07:00:26,dan,0.2063888888888889,0.0687962962962963
211,2024-09-11 06:48:03,2024-09-11 07:00:26,vanhaa valintakoetta pystyyn,0.2063888888888889,0.0687962962962963
211,2024-09-11 06:48:03,2024-09-11 07:00:26,yfs,0.2063888888888889,0.0687962962962963
210,2024-09-11 07:00:29,2024-09-11 07:09:03,discrete: planning,0.14277777777777778,0.047592592592592596
210,2024-09-11 07:00:29,2024-09-11 07:09:03,tic,0.14277777777777778,0.047592592592592596
210,2024-09-11 07:00:29,2024-09-11 07:09:03,ttv,0.14277777777777778,0.047592592592592596
209,2024-09-11 07:09:05,2024-09-11 07:58:20,dan,0.8208333333333333,0.2736111111111111
209,2024-09-11 07:09:05,2024-09-11 07:58:20,vanhaa valintakoetta pystyyn,0.8208333333333333,0.2736111111111111
209,2024-09-11 07:09:05,2024-09-11 07:58:20,yfs,0.8208333333333333,0.2736111111111111
208,2024-09-11 08:42:34,2024-09-11 10:17:36,discrete: teaching fi,1.583888888888889,0.7919444444444445
208,2024-09-11 08:42:34,2024-09-11 10:17:36,ttv,1.583888888888889,0.7919444444444445
207,2024-09-11 13:32:46,2024-09-11 14:14:48,communication,0.7005555555555556,0.3502777777777778
207,2024-09-11 13:32:46,2024-09-11 14:14:48,ttv,0.7005555555555556,0.3502777777777778
206,2024-09-12 06:22:38,2024-09-12 08:02:41,discrete: teaching en,1.6675,0.83375
206,2024-09-12 06:22:38,2024-09-12 08:02:41,tic,1.6675,0.83375
205,2024-09-12 09:58:11,2024-09-12 11:00:30,communication,1.0386111111111112,0.5193055555555556
205,2024-09-12 09:58:11,2024-09-12 11:00:30,ttv,1.0386111111111112,0.5193055555555556
204,2024-09-12 11:53:18,2024-09-12 12:17:01,dan,0.3952777777777778,0.13175925925925927
204,2024-09-12 11:53:18,2024-09-12 12:17:01,vanhaa valintakoetta pystyyn,0.3952777777777778,0.13175925925925927
204,2024-09-12 11:53:18,2024-09-12 12:17:01,yfs,0.3952777777777778,0.13175925925925927
203,2024-09-12 12:43:53,2024-09-12 14:06:09,dan,1.3711111111111112,0.4570370370370371
203,2024-09-12 12:43:53,2024-09-12 14:06:09,vanhaa valintakoetta pystyyn,1.3711111111111112,0.4570370370370371
203,2024-09-12 12:43:53,2024-09-12 14:06:09,yfs,1.3711111111111112,0.4570370370370371
202,2024-09-12 14:25:29,2024-09-12 15:20:46,dan,0.9213888888888889,0.30712962962962964
202,2024-09-12 14:25:29,2024-09-12 15:20:46,vanhaa valintakoetta pystyyn,0.9213888888888889,0.30712962962962964
202,2024-09-12 14:25:29,2024-09-12 15:20:46,yfs,0.9213888888888889,0.30712962962962964
201,2024-09-12 15:27:42,2024-09-12 16:56:38,dan,1.4822222222222223,0.4940740740740741
201,2024-09-12 15:27:42,2024-09-12 16:56:38,vanhaa valintakoetta pystyyn,1.4822222222222223,0.4940740740740741
201,2024-09-12 15:27:42,2024-09-12 16:56:38,yfs,1.4822222222222223,0.4940740740740741
200,2024-09-12 17:47:26,2024-09-12 19:28:09,dan,1.678611111111111,0.559537037037037
200,2024-09-12 17:47:26,2024-09-12 19:28:09,vanhaa valintakoetta pystyyn,1.678611111111111,0.559537037037037
200,2024-09-12 17:47:26,2024-09-12 19:28:09,yfs,1.678611111111111,0.559537037037037
199,2024-09-13 04:23:17,2024-09-13 06:06:10,discrete: teaching fi,1.7147222222222223,0.8573611111111111
199,2024-09-13 04:23:17,2024-09-13 06:06:10,ttv,1.7147222222222223,0.8573611111111111
198,2024-09-13 06:06:17,2024-09-13 06:15:27,discrete: videos teams --> onedrive,0.1527777777777778,0.0763888888888889
198,2024-09-13 06:06:17,2024-09-13 06:15:27,ttv,0.1527777777777778,0.0763888888888889
197,2024-09-13 07:31:01,2024-09-13 10:52:10,dan,3.3525,1.1175
197,2024-09-13 07:31:01,2024-09-13 10:52:10,vanhaa valintakoetta pystyyn,3.3525,1.1175
197,2024-09-13 07:31:01,2024-09-13 10:52:10,yfs,3.3525,1.1175
196,2024-09-13 10:55:08,2024-09-13 11:18:01,communication,0.3813888888888889,0.19069444444444444
196,2024-09-13 10:55:08,2024-09-13 11:18:01,ttv,0.3813888888888889,0.19069444444444444
195,2024-09-13 11:18:31,2024-09-13 13:25:47,discrete: grading,2.121111111111111,0.707037037037037
195,2024-09-13 11:18:31,2024-09-13 13:25:47,tic,2.121111111111111,0.707037037037037
195,2024-09-13 11:18:31,2024-09-13 13:25:47,ttv,2.121111111111111,0.707037037037037
194,2024-09-15 05:56:57,2024-09-15 06:27:05,communication,0.5022222222222222,0.2511111111111111
194,2024-09-15 05:56:57,2024-09-15 06:27:05,ttv,0.5022222222222222,0.2511111111111111
193,2024-09-15 06:37:15,2024-09-15 06:49:42,dan,0.2075,0.10375
193,2024-09-15 06:37:15,2024-09-15 06:49:42,dan: planning,0.2075,0.10375
192,2024-09-15 12:12:25,2024-09-15 12:37:35,dan,0.41944444444444445,0.20972222222222223
192,2024-09-15 12:12:25,2024-09-15 12:37:35,dan: planning,0.41944444444444445,0.20972222222222223
191,2024-09-16 04:59:24,2024-09-16 05:05:07,communication,0.09527777777777778,0.04763888888888889
191,2024-09-16 04:59:24,2024-09-16 05:05:07,ttv,0.09527777777777778,0.04763888888888889
190,2024-09-16 05:05:30,2024-09-16 05:22:41,discrete: planning,0.2863888888888889,0.09546296296296297
190,2024-09-16 05:05:30,2024-09-16 05:22:41,tic,0.2863888888888889,0.09546296296296297
190,2024-09-16 05:05:30,2024-09-16 05:22:41,ttv,0.2863888888888889,0.09546296296296297
189,2024-09-16 05:30:38,2024-09-16 06:02:40,discrete: planning,0.5338888888888889,0.17796296296296296
189,2024-09-16 05:30:38,2024-09-16 06:02:40,tic,0.5338888888888889,0.17796296296296296
189,2024-09-16 05:30:38,2024-09-16 06:02:40,ttv,0.5338888888888889,0.17796296296296296
188,2024-09-16 06:25:58,2024-09-16 06:54:03,discrete: planning,0.46805555555555556,0.15601851851851853
188,2024-09-16 06:25:58,2024-09-16 06:54:03,tic,0.46805555555555556,0.15601851851851853
188,2024-09-16 06:25:58,2024-09-16 06:54:03,ttv,0.46805555555555556,0.15601851851851853
187,2024-09-16 07:10:36,2024-09-16 07:41:43,discrete: planning,0.5186111111111111,0.17287037037037037
187,2024-09-16 07:10:36,2024-09-16 07:41:43,tic,0.5186111111111111,0.17287037037037037
187,2024-09-16 07:10:36,2024-09-16 07:41:43,ttv,0.5186111111111111,0.17287037037037037
186,2024-09-16 07:55:10,2024-09-16 08:21:26,resurssipalaveri,0.43777777777777777,0.21888888888888888
186,2024-09-16 07:55:10,2024-09-16 08:21:26,ttv,0.43777777777777777,0.21888888888888888
185,2024-09-16 08:22:20,2024-09-16 08:31:01,tic,0.14472222222222222,0.07236111111111111
185,2024-09-16 08:22:20,2024-09-16 08:31:01,valintakoe tic,0.14472222222222222,0.07236111111111111
184,2024-09-16 08:59:31,2024-09-16 10:04:26,perehdytyspalaveri,1.0819444444444444,0.5409722222222222
184,2024-09-16 08:59:31,2024-09-16 10:04:26,ttv,1.0819444444444444,0.5409722222222222
183,2024-09-16 11:00:21,2024-09-16 11:36:00,discrete: planning,0.5941666666666666,0.19805555555555554
183,2024-09-16 11:00:21,2024-09-16 11:36:00,tic,0.5941666666666666,0.19805555555555554
183,2024-09-16 11:00:21,2024-09-16 11:36:00,ttv,0.5941666666666666,0.19805555555555554
182,2024-09-16 11:44:49,2024-09-16 12:47:37,discrete: planning,1.0466666666666666,0.34888888888888886
182,2024-09-16 11:44:49,2024-09-16 12:47:37,tic,1.0466666666666666,0.34888888888888886
182,2024-09-16 11:44:49,2024-09-16 12:47:37,ttv,1.0466666666666666,0.34888888888888886
181,2024-09-16 13:18:59,2024-09-16 14:28:16,dan,1.1547222222222222,0.5773611111111111
181,2024-09-16 13:18:59,2024-09-16 14:28:16,dan: planning,1.1547222222222222,0.5773611111111111
180,2024-09-17 04:47:42,2024-09-17 05:30:09,communication,0.7075,0.35375
180,2024-09-17 04:47:42,2024-09-17 05:30:09,ttv,0.7075,0.35375
179,2024-09-17 05:41:08,2024-09-17 06:27:50,discrete: planning,0.7783333333333333,0.2594444444444444
179,2024-09-17 05:41:08,2024-09-17 06:27:50,tic,0.7783333333333333,0.2594444444444444
179,2024-09-17 05:41:08,2024-09-17 06:27:50,ttv,0.7783333333333333,0.2594444444444444
178,2024-09-17 06:37:58,2024-09-17 07:31:07,discrete: planning,0.8858333333333334,0.2952777777777778
178,2024-09-17 06:37:58,2024-09-17 07:31:07,tic,0.8858333333333334,0.2952777777777778
178,2024-09-17 06:37:58,2024-09-17 07:31:07,ttv,0.8858333333333334,0.2952777777777778
177,2024-09-17 07:35:42,2024-09-17 08:50:47,discrete: planning,1.2513888888888889,0.41712962962962963
177,2024-09-17 07:35:42,2024-09-17 08:50:47,tic,1.2513888888888889,0.41712962962962963
177,2024-09-17 07:35:42,2024-09-17 08:50:47,ttv,1.2513888888888889,0.41712962962962963
176,2024-09-17 08:54:57,2024-09-17 09:06:29,dan,0.1922222222222222,0.0961111111111111
176,2024-09-17 08:54:57,2024-09-17 09:06:29,dan: planning,0.1922222222222222,0.0961111111111111
175,2024-09-17 09:16:06,2024-09-17 09:50:13,dan,0.5686111111111111,0.28430555555555553
175,2024-09-17 09:16:06,2024-09-17 09:50:13,dan: planning,0.5686111111111111,0.28430555555555553
174,2024-09-17 10:00:33,2024-09-17 10:47:31,dan,0.7827777777777778,0.3913888888888889
174,2024-09-17 10:00:33,2024-09-17 10:47:31,dan: planning,0.7827777777777778,0.3913888888888889
173,2024-09-18 04:46:04,2024-09-18 04:47:24,communication,0.022222222222222223,0.011111111111111112
173,2024-09-18 04:46:04,2024-09-18 04:47:24,ttv,0.022222222222222223,0.011111111111111112
172,2024-09-18 04:47:38,2024-09-18 04:59:06,dan,0.19111111111111112,0.09555555555555556
172,2024-09-18 04:47:38,2024-09-18 04:59:06,dan: recordings teams --> onedrive,0.19111111111111112,0.09555555555555556
171,2024-09-18 04:59:13,2024-09-18 05:19:15,communication,0.3338888888888889,0.16694444444444445
171,2024-09-18 04:59:13,2024-09-18 05:19:15,ttv,0.3338888888888889,0.16694444444444445
170,2024-09-18 05:24:40,2024-09-18 06:07:45,dan,0.7180555555555556,0.3590277777777778
170,2024-09-18 05:24:40,2024-09-18 06:07:45,dan: planning,0.7180555555555556,0.3590277777777778
169,2024-09-18 06:13:08,2024-09-18 07:51:21,dan,1.6369444444444445,0.8184722222222223
169,2024-09-18 06:13:08,2024-09-18 07:51:21,dan: planning,1.6369444444444445,0.8184722222222223
168,2024-09-18 08:40:26,2024-09-18 10:13:07,discrete: teaching fi,1.5447222222222223,0.7723611111111112
168,2024-09-18 08:40:26,2024-09-18 10:13:07,ttv,1.5447222222222223,0.7723611111111112
167,2024-09-18 10:13:28,2024-09-18 10:23:22,communication,0.165,0.0825
167,2024-09-18 10:13:28,2024-09-18 10:23:22,ttv,0.165,0.0825
166,2024-09-18 11:23:12,2024-09-18 11:25:09,communication,0.0325,0.01625
166,2024-09-18 11:23:12,2024-09-18 11:25:09,ttv,0.0325,0.01625
165,2024-09-18 11:25:26,2024-09-18 11:37:14,discrete: planning,0.19666666666666666,0.06555555555555555
165,2024-09-18 11:25:26,2024-09-18 11:37:14,tic,0.19666666666666666,0.06555555555555555
165,2024-09-18 11:25:26,2024-09-18 11:37:14,ttv,0.19666666666666666,0.06555555555555555
164,2024-09-18 11:37:25,2024-09-18 11:59:54,dan,0.37472222222222223,0.12490740740740741
